,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,subject10
subject1,1.00 ,0.46 ,0.46 ,0.39 ,0.43 ,0.48 ,0.46 ,0.45 ,0.42 ,0.42 
subject2,0.46 ,1.00 ,0.49 ,0.46 ,0.50 ,0.48 ,0.48 ,0.49 ,0.45 ,0.47 
subject3,0.46 ,0.49 ,1.00 ,0.43 ,0.50 ,0.47 ,0.47 ,0.49 ,0.43 ,0.42 
subject4,0.39 ,0.46 ,0.43 ,1.00 ,0.44 ,0.44 ,0.44 ,0.42 ,0.40 ,0.42 
subject5,0.43 ,0.50 ,0.50 ,0.44 ,1.00 ,0.45 ,0.44 ,0.49 ,0.43 ,0.47 
subject6,0.48 ,0.48 ,0.47 ,0.44 ,0.45 ,1.00 ,0.49 ,0.48 ,0.44 ,0.43 
subject7,0.46 ,0.48 ,0.47 ,0.44 ,0.44 ,0.49 ,1.00 ,0.47 ,0.42 ,0.41 
subject8,0.45 ,0.49 ,0.49 ,0.42 ,0.49 ,0.48 ,0.47 ,1.00 ,0.41 ,0.42 
subject9,0.42 ,0.45 ,0.43 ,0.40 ,0.43 ,0.44 ,0.42 ,0.41 ,1.00 ,0.44 
subject10,0.42 ,0.47 ,0.42 ,0.42 ,0.47 ,0.43 ,0.41 ,0.42 ,0.44 ,1.00 
